Company,Source,Target
Carrum Health,Applied,Auto-Rejected
Circle,Applied,Auto-Rejected
CloudZero,Applied,Auto-Rejected
CrowdStrike,Applied,Auto-Rejected
DAS42,Applied,Auto-Rejected
Datavant,Applied,Auto-Rejected
Descript,Applied,Auto-Rejected
Digible,Applied,Auto-Rejected
Discord,Applied,Auto-Rejected
Docker,Applied,Auto-Rejected
Docker,Applied,Auto-Rejected
DoorDash,Applied,Auto-Rejected
Everstream,Applied,Auto-Rejected
Experian,Applied,Auto-Rejected
F&G,Applied,Auto-Rejected
Garner Health,Applied,Auto-Rejected
Gauntlet,Applied,Auto-Rejected
GitHub,Applied,Auto-Rejected
Grafana Labs,Applied,Auto-Rejected
HackerOne,Applied,Auto-Rejected
Headspace,Applied,Auto-Rejected
Headway,Applied,Auto-Rejected
HubSpot,Applied,Auto-Rejected
Kard Financial,Applied,Auto-Rejected
Kin Insurance,Applied,Auto-Rejected
Lawrence Livemore National Laboratory,Applied,Auto-Rejected
LogicManager,Applied,Auto-Rejected
Lumos,Applied,Auto-Rejected
Maven Clinic,Applied,Auto-Rejected
Microsoft,Applied,Auto-Rejected
Montage Health,Applied,Auto-Rejected
Mozilla,Applied,Auto-Rejected
NBC Universal,Applied,Auto-Rejected
ngrok,Applied,Auto-Rejected
Nielsen IQ,Applied,Auto-Rejected
Omada Health,Applied,Auto-Rejected
ONE,Applied,Auto-Rejected
Oracle,Applied,Auto-Rejected
owner.com,Applied,Auto-Rejected
Pair Team,Applied,Auto-Rejected
Pano AI,Applied,Auto-Rejected
PayNearMe,Applied,Auto-Rejected
Precisely,Applied,Auto-Rejected
Redwood Materials,Applied,Auto-Rejected
RTX,Applied,Auto-Rejected
Runway,Applied,Auto-Rejected
S&P,Applied,Auto-Rejected
SageSure,Applied,Auto-Rejected
SeatGeek,Applied,Auto-Rejected
Semperis,Applied,Auto-Rejected
SharkNinja,Applied,Auto-Rejected
Sikh,Applied,Auto-Rejected
SmarterDx,Applied,Auto-Rejected
SoFi,Applied,Auto-Rejected
Splunk,Applied,Auto-Rejected
SquarePeg,Applied,Auto-Rejected
Stryker,Applied,Auto-Rejected
Substack,Applied,Auto-Rejected
Sure,Applied,Auto-Rejected
Tabby,Applied,Auto-Rejected
Thrivent,Applied,Auto-Rejected
Upside,Applied,Auto-Rejected
Upstart,Applied,Auto-Rejected
Workiva,Applied,Auto-Rejected
15Five,Applied,No Response
1v1Me,Applied,No Response
Abnormal Security,Applied,No Response
Affirm,Applied,No Response
Airbnb,Applied,No Response
Airbnb,Applied,No Response
AKASA,Applied,No Response
Aledade,Applied,No Response
Aledade,Applied,No Response
Aledade,Applied,No Response
Anchorage Digital,Applied,No Response
Angi,Applied,No Response
Angi,Applied,No Response
Armis,Applied,No Response
Arrow Search Partners,Applied,No Response
Artmac,Applied,No Response
AssemblyAI,Applied,No Response
Autodesk,Applied,No Response
Averity,Applied,No Response
Big Cloud,Applied,No Response
Bluesight,Applied,No Response
Brightcove,Applied,No Response
Brightspeed,Applied,No Response
Camino Financial,Applied,No Response
Catalyst,Applied,No Response
CAVA,Applied,No Response
Chainguard,Applied,No Response
Cherre,Applied,No Response
Clara Analytics,Applied,No Response
Coinbase,Applied,No Response
Columbia Sportswear,Applied,No Response
Compass,Applied,No Response
Connecticut Innovations,Applied,No Response
Crisis Text Line,Applied,No Response
Cruise Planners,Applied,No Response
dbt Labs,Applied,No Response
dbt Labs,Applied,No Response
Descript,Applied,No Response
Dexian,Applied,No Response
Dole,Applied,No Response
EarnIn,Applied,No Response
ecoATM,Applied,No Response
Expel,Applied,No Response
Experian,Applied,No Response
Faire,Applied,No Response
FinThrive,Applied,No Response
FinThrive,Applied,No Response
First Citizens Bank,Applied,No Response
Franklin Fitch,Applied,No Response
Ghost,Applied,No Response
GibsonAI,Applied,No Response
Harness,Applied,No Response
Hayward,Applied,No Response
Ignetic,Applied,No Response
Included Health,Applied,No Response
Jerry,Applied,No Response
Lumen,Applied,No Response
MDCalc,Applied,No Response
Media Streams,Applied,No Response
Mission Veterinary Partners,Applied,No Response
MNTN,Applied,No Response
Modern Health,Applied,No Response
Netflix,Applied,No Response
Netflix,Applied,No Response
Netflix,Applied,No Response
Netflix,Applied,No Response
One,Applied,No Response
Oscar Health,Applied,No Response
Pattern Data,Applied,No Response
Paytient,Applied,No Response
PeopleFun,Applied,No Response
Promote,Applied,No Response
QSC,Applied,No Response
Quantana,Applied,No Response
RainesDev,Applied,No Response
RE Partners,Applied,No Response
Regard,Applied,No Response
Reperio Human Capital,Applied,No Response
Rightway,Applied,No Response
Scope3,Applied,No Response
Smartsheet,Applied,No Response
SoFi,Applied,No Response
StackAdapt,Applied,No Response
Super,Applied,No Response
TBC Holdings,Applied,No Response
The Phoenix Group,Applied,No Response
Tiger Analytics,Applied,No Response
Tinybird,Applied,No Response
Trace3,Applied,No Response
TRM Labs,Applied,No Response
Unreal Staffing,Applied,No Response
Upstart,Applied,No Response
Upstart,Applied,No Response
Veradigm,Applied,No Response
Videoamp,Applied,No Response
Vimeo,Applied,No Response
Webflow,Applied,No Response
Wellth,Applied,No Response
Wrapbook,Applied,No Response
